Rating,Distance,Price,Popularity,Cuisine_Chinese,Cuisine_Indian,Cuisine_Italian,Cuisine_Mexican,User_Preference_Budget,User_Restaurant_Interaction
3.2,4.1,0.8055172413793104,0.527,1.0,0.0,0.0,0.0,0,"[3, 9, 3.6]"
2.1,2.6,0.6441379310344828,0.504,0.0,1.0,0.0,0.0,1,"[5, 4, 2.2]"
4.7,2.6,0.4620689655172413,0.064,0.0,1.0,0.0,0.0,0,"[0, 0, 0.0]"
3.8,3.5,0.3241379310344827,0.666,0.0,0.0,1.0,0.0,1,"[2, 5, 4.2]"
2.6,4.4,0.2641379310344827,0.6900000000000001,0.0,1.0,0.0,0.0,1,"[3, 24, 2.0]"
3.2,3.8,0.3648275862068965,0.198,1.0,0.0,0.0,0.0,0,"[0, 0, 0.0]"
3.0,3.1,0.4703448275862068,0.373,0.0,0.0,1.0,0.0,0,"[1, 8, 2.2]"
2.3,3.8,0.0882758620689655,0.717,0.0,1.0,0.0,0.0,1,"[1, 19, 3.7]"
4.8,4.4,0.1793103448275861,0.7000000000000001,0.0,0.0,1.0,0.0,0,"[3, 16, 5.0]"
3.4,3.6,0.0793103448275862,0.048,0.0,1.0,0.0,0.0,1,"[1, 3, 3.5]"
2.4,3.1,0.7724137931034483,0.27,0.0,1.0,0.0,0.0,0,"[0, 0, 0.0]"
4.9,4.6,0.3068965517241379,0.127,0.0,1.0,0.0,0.0,0,"[2, 9, 5.0]"
3.5,3.0,0.2248275862068965,0.522,0.0,1.0,0.0,0.0,1,"[5, 21, 3.6]"
4.8,1.4,0.253103448275862,0.199,0.0,0.0,1.0,0.0,0,"[0, 0, 0.0]"
2.2,0.8,0.1841379310344827,0.16,0.0,0.0,0.0,1.0,0,"[5, 2, 2.6]"
2.5,4.2,0.6172413793103448,0.553,1.0,0.0,0.0,0.0,1,"[3, 15, 2.6]"
2.2,3.8,0.9703448275862068,0.332,0.0,0.0,0.0,1.0,0,"[0, 0, 0.0]"
2.1,0.7,0.2944827586206896,0.61,0.0,0.0,0.0,1.0,0,"[0, 0, 0.0]"
3.9,4.3,0.2344827586206896,0.212,0.0,0.0,0.0,1.0,1,"[1, 8, 3.9]"
3.9,1.9,0.3979310344827585,0.882,0.0,0.0,1.0,0.0,1,"[3, 2, 4.2]"
4.7,3.2,0.2289655172413792,0.65,0.0,0.0,1.0,0.0,1,"[4, 13, 4.7]"
2.9,3.2,0.5606896551724138,0.311,0.0,1.0,0.0,0.0,0,"[5, 11, 3.7]"
3.2,3.9,0.3289655172413793,0.216,1.0,0.0,0.0,0.0,0,"[0, 0, 0.0]"
4.6,5.0,0.0482758620689655,0.914,0.0,0.0,0.0,1.0,1,"[2, 27, 4.3]"
2.7,3.3,0.2427586206896551,0.741,1.0,0.0,0.0,0.0,1,"[1, 5, 2.5]"
2.2,1.0,0.5151724137931034,0.513,1.0,0.0,0.0,0.0,1,"[3, 15, 2.6]"
4.1,4.3,0.6786206896551724,0.5740000000000001,0.0,0.0,1.0,0.0,0,"[3, 22, 4.2]"
3.0,2.2,0.9751724137931034,0.87,1.0,0.0,0.0,0.0,0,"[3, 26, 2.9]"
2.9,0.6,0.5613793103448276,0.546,0.0,0.0,0.0,1.0,0,"[2, 18, 2.4]"
4.3,5.0,0.5289655172413793,0.471,0.0,0.0,0.0,1.0,0,"[2, 19, 4.1]"
2.5,4.5,0.2799999999999999,0.145,0.0,0.0,0.0,1.0,0,"[5, 30, 2.7]"
3.6,4.2,0.8358620689655172,0.593,1.0,0.0,0.0,0.0,1,"[3, 17, 3.6]"
2.3,3.0,0.8082758620689655,0.292,0.0,0.0,0.0,1.0,1,"[2, 7, 2.0]"
2.2,2.9,0.5586206896551724,0.34,1.0,0.0,0.0,0.0,0,"[0, 0, 0.0]"
3.9,1.4,0.4482758620689654,0.058,0.0,0.0,1.0,0.0,0,"[1, 4, 4.1]"
3.6,4.9,0.9372413793103448,0.371,0.0,0.0,0.0,1.0,0,"[3, 6, 3.9]"
2.7,2.2,0.7248275862068966,0.845,0.0,1.0,0.0,0.0,0,"[2, 22, 2.1]"
3.9,0.9,0.8379310344827586,0.345,1.0,0.0,0.0,0.0,0,"[3, 18, 4.1]"
4.3,0.7,0.3572413793103448,0.808,0.0,0.0,0.0,1.0,0,"[2, 11, 3.9]"
4.7,2.3,0.853103448275862,0.195,0.0,0.0,0.0,1.0,1,"[2, 28, 4.5]"
4.1,4.5,0.3324137931034482,0.541,1.0,0.0,0.0,0.0,0,"[1, 26, 4.3]"
5.0,1.3,0.9696551724137932,0.307,0.0,1.0,0.0,0.0,0,"[2, 8, 5.0]"
4.3,4.4,0.5358620689655172,0.989,0.0,0.0,0.0,1.0,1,"[3, 20, 3.5]"
3.0,3.2,0.1889655172413792,0.562,1.0,0.0,0.0,0.0,0,"[0, 0, 0.0]"
4.9,2.8,0.5220689655172414,0.03,0.0,0.0,0.0,1.0,0,"[0, 0, 0.0]"
2.2,4.3,0.9179310344827586,0.103,1.0,0.0,0.0,0.0,1,"[1, 24, 3.0]"
3.8,2.2,0.0524137931034482,0.806,0.0,0.0,1.0,0.0,0,"[4, 20, 3.4]"
3.4,4.4,0.8137931034482758,0.747,0.0,0.0,0.0,1.0,1,"[3, 13, 2.7]"
4.4,4.5,0.9337931034482758,0.97,0.0,0.0,0.0,1.0,1,"[3, 9, 4.4]"
2.3,4.7,0.9627586206896552,0.562,1.0,0.0,0.0,0.0,1,"[0, 0, 0.0]"
4.6,3.2,0.1924137931034482,0.316,1.0,0.0,0.0,0.0,1,"[2, 18, 5.0]"
4.1,0.8,0.9082758620689656,0.582,0.0,0.0,1.0,0.0,0,"[4, 22, 3.9]"
2.5,4.3,0.0089655172413793,0.28,0.0,0.0,0.0,1.0,0,"[1, 24, 2.9]"
3.2,2.5,0.0586206896551724,0.665,0.0,0.0,1.0,0.0,1,"[4, 10, 2.7]"
4.8,0.7,0.5910344827586207,0.208,0.0,0.0,0.0,1.0,1,"[0, 0, 0.0]"
3.2,2.1,0.0503448275862069,0.278,0.0,0.0,0.0,1.0,1,"[0, 0, 0.0]"
4.8,0.9,0.8551724137931034,0.73,1.0,0.0,0.0,0.0,0,"[5, 2, 3.8]"
3.3,0.7,0.6689655172413793,0.989,1.0,0.0,0.0,0.0,1,"[0, 0, 0.0]"
3.7,3.8,0.7710344827586206,0.66,0.0,0.0,1.0,0.0,1,"[1, 22, 3.9]"
2.7,0.6,0.6241379310344828,0.211,1.0,0.0,0.0,0.0,1,"[1, 5, 3.1]"
3.8,4.4,0.66,0.127,0.0,1.0,0.0,0.0,1,"[5, 6, 3.6]"
3.2,1.7,0.6558620689655172,0.974,0.0,0.0,1.0,0.0,0,"[4, 28, 3.7]"
4.6,2.4,0.8896551724137931,0.054,1.0,0.0,0.0,0.0,0,"[5, 1, 4.2]"
2.6,0.8,0.6186206896551724,0.244,0.0,1.0,0.0,0.0,0,"[3, 1, 2.9]"
4.1,0.6,0.6558620689655172,0.993,0.0,1.0,0.0,0.0,1,"[0, 0, 0.0]"
2.4,3.5,0.1234482758620689,0.969,0.0,0.0,0.0,1.0,1,"[5, 28, 2.3]"
4.0,3.6,0.4372413793103448,0.626,0.0,0.0,0.0,1.0,0,"[4, 3, 3.2]"
4.3,4.1,0.2206896551724137,0.471,1.0,0.0,0.0,0.0,1,"[1, 27, 4.6]"
3.4,3.3,0.1579310344827585,0.355,0.0,0.0,1.0,0.0,1,"[0, 0, 0.0]"
4.6,3.3,0.1455172413793103,0.535,0.0,1.0,0.0,0.0,0,"[2, 16, 4.1]"
3.9,2.6,0.9744827586206896,0.132,0.0,0.0,1.0,0.0,1,"[3, 29, 3.8]"
4.6,1.4,0.6772413793103448,0.066,1.0,0.0,0.0,0.0,0,"[5, 8, 4.9]"
4.7,3.5,0.7179310344827586,0.146,0.0,1.0,0.0,0.0,0,"[2, 18, 4.5]"
2.6,3.4,0.133103448275862,0.901,0.0,1.0,0.0,0.0,1,"[3, 8, 2.5]"
2.6,3.8,0.8289655172413792,0.717,0.0,0.0,0.0,1.0,1,"[5, 17, 3.0]"
2.2,2.0,0.0427586206896551,0.635,0.0,1.0,0.0,0.0,1,"[3, 9, 2.0]"
4.7,3.3,0.0206896551724137,0.415,0.0,0.0,0.0,1.0,0,"[5, 28, 4.9]"
2.4,1.2,0.7255172413793103,0.392,1.0,0.0,0.0,0.0,1,"[4, 5, 2.4]"
2.4,1.5,0.6655172413793103,0.835,0.0,1.0,0.0,0.0,1,"[2, 4, 2.7]"
3.4,2.3,0.636551724137931,0.65,1.0,0.0,0.0,0.0,1,"[4, 10, 3.2]"
3.8,0.9,0.5599999999999999,0.267,0.0,0.0,1.0,0.0,1,"[2, 19, 3.4]"
3.2,2.1,0.3034482758620689,0.496,0.0,0.0,0.0,1.0,1,"[4, 11, 2.1]"
2.3,3.1,0.976551724137931,0.3,0.0,0.0,0.0,1.0,0,"[2, 2, 3.0]"
2.2,1.2,0.3772413793103448,0.463,1.0,0.0,0.0,0.0,0,"[0, 0, 0.0]"
3.6,2.8,0.6268965517241379,0.332,0.0,1.0,0.0,0.0,1,"[1, 4, 3.4]"
3.7,2.1,0.8827586206896552,0.796,0.0,0.0,1.0,0.0,1,"[1, 12, 3.2]"
3.4,2.4,0.2020689655172413,0.532,0.0,0.0,0.0,1.0,0,"[2, 23, 2.9]"
2.2,2.9,0.9655172413793104,0.518,0.0,1.0,0.0,0.0,1,"[1, 29, 2.0]"
4.8,4.7,0.1475862068965517,0.362,0.0,1.0,0.0,0.0,1,"[4, 4, 5.0]"
2.9,4.0,0.2593103448275862,0.488,0.0,1.0,0.0,0.0,0,"[4, 20, 2.7]"
4.7,1.1,0.1027586206896551,0.584,0.0,1.0,0.0,0.0,0,"[2, 5, 4.4]"
4.3,2.6,0.9020689655172414,0.448,1.0,0.0,0.0,0.0,1,"[4, 3, 4.1]"
2.7,3.9,0.1124137931034482,0.586,1.0,0.0,0.0,0.0,0,"[3, 10, 2.1]"
2.7,1.0,0.4627586206896551,0.8,1.0,0.0,0.0,0.0,0,"[2, 22, 2.8]"
2.5,1.2,0.9510344827586208,0.272,1.0,0.0,0.0,0.0,1,"[4, 13, 2.6]"
3.2,3.8,0.7841379310344827,0.865,1.0,0.0,0.0,0.0,1,"[3, 26, 3.4]"
4.6,2.3,0.3351724137931034,0.972,1.0,0.0,0.0,0.0,0,"[0, 0, 0.0]"
3.2,0.8,0.1172413793103448,0.516,0.0,0.0,1.0,0.0,0,"[5, 8, 3.8]"
3.6,3.4,0.6,0.782,0.0,0.0,1.0,0.0,1,"[4, 25, 3.7]"
4.1,4.7,0.1310344827586206,0.74,0.0,0.0,0.0,1.0,0,"[0, 0, 0.0]"
4.1,2.4,0.2855172413793103,0.644,0.0,1.0,0.0,0.0,0,"[4, 17, 4.7]"
2.5,3.7,0.6613793103448276,0.37,0.0,0.0,0.0,1.0,1,"[1, 21, 3.4]"
2.6,2.2,0.0862068965517241,0.577,0.0,0.0,0.0,1.0,1,"[5, 22, 2.3]"
3.9,4.1,0.2958620689655172,0.362,0.0,0.0,1.0,0.0,1,"[3, 21, 4.0]"
4.7,1.9,0.5110344827586207,0.586,1.0,0.0,0.0,0.0,1,"[4, 27, 4.5]"
2.4,1.9,0.5158620689655172,0.97,0.0,1.0,0.0,0.0,1,"[2, 3, 2.8]"
3.6,1.2,0.8882758620689655,0.923,0.0,1.0,0.0,0.0,0,"[1, 12, 3.7]"
2.1,4.1,0.0772413793103448,0.717,0.0,0.0,1.0,0.0,1,"[3, 2, 2.0]"
2.4,1.9,0.7317241379310344,0.536,0.0,0.0,0.0,1.0,0,"[1, 10, 2.7]"
4.6,0.9,0.1372413793103448,0.28,0.0,1.0,0.0,0.0,1,"[1, 16, 5.0]"
4.1,4.2,0.8393103448275862,0.684,0.0,1.0,0.0,0.0,1,"[0, 0, 0.0]"
4.8,1.8,0.0889655172413793,0.965,1.0,0.0,0.0,0.0,1,"[0, 0, 0.0]"
2.7,4.1,0.3737931034482758,0.547,1.0,0.0,0.0,0.0,1,"[2, 28, 2.7]"
2.1,2.8,0.2524137931034482,0.807,1.0,0.0,0.0,0.0,1,"[1, 15, 2.0]"
3.9,2.2,0.2848275862068965,0.021,0.0,0.0,1.0,0.0,0,"[5, 12, 4.5]"
2.6,2.4,0.9344827586206896,0.199,0.0,0.0,1.0,0.0,0,"[3, 25, 2.9]"
2.5,3.6,0.9351724137931036,0.933,0.0,0.0,1.0,0.0,0,"[2, 25, 2.7]"
2.1,3.3,0.1737931034482758,0.718,0.0,1.0,0.0,0.0,0,"[1, 30, 2.1]"
2.3,3.2,0.2489655172413792,0.419,0.0,0.0,1.0,0.0,1,"[4, 12, 3.0]"
3.7,1.7,0.336551724137931,0.97,1.0,0.0,0.0,0.0,1,"[4, 28, 4.1]"
2.1,2.2,0.7820689655172414,0.31,0.0,1.0,0.0,0.0,0,"[1, 1, 2.3]"
4.9,3.7,0.9579310344827586,0.236,1.0,0.0,0.0,0.0,1,"[2, 11, 5.0]"
3.4,1.9,0.0082758620689655,0.732,0.0,0.0,1.0,0.0,1,"[0, 0, 0.0]"
4.0,2.4,0.3951724137931034,0.198,0.0,0.0,0.0,1.0,1,"[3, 7, 4.5]"
2.5,3.4,0.2372413793103447,0.049,1.0,0.0,0.0,0.0,1,"[1, 2, 2.0]"
2.4,0.8,0.9110344827586206,0.885,1.0,0.0,0.0,0.0,0,"[2, 16, 3.0]"
3.3,1.2,0.416551724137931,0.317,0.0,0.0,0.0,1.0,1,"[5, 10, 3.6]"
4.1,3.5,0.5448275862068965,0.581,0.0,1.0,0.0,0.0,1,"[3, 30, 4.7]"
3.2,3.6,0.1468965517241379,0.348,0.0,0.0,1.0,0.0,1,"[1, 17, 2.4]"
2.9,4.7,0.9627586206896552,0.391,0.0,1.0,0.0,0.0,1,"[0, 0, 0.0]"
3.6,1.8,0.716551724137931,0.5720000000000001,0.0,0.0,1.0,0.0,1,"[3, 13, 3.2]"
3.2,2.4,0.4324137931034482,0.247,0.0,0.0,1.0,0.0,0,"[3, 1, 4.2]"
2.8,1.7,0.8827586206896552,0.529,0.0,0.0,1.0,0.0,0,"[0, 0, 0.0]"
3.7,1.5,0.1537931034482758,0.598,0.0,0.0,1.0,0.0,1,"[0, 0, 0.0]"
4.9,4.2,0.1668965517241379,0.806,1.0,0.0,0.0,0.0,0,"[5, 29, 4.1]"
2.8,4.4,0.3799999999999999,0.444,1.0,0.0,0.0,0.0,0,"[0, 0, 0.0]"
4.6,1.3,0.8324137931034482,0.352,1.0,0.0,0.0,0.0,1,"[2, 11, 4.5]"
4.6,4.2,0.3889655172413793,0.764,1.0,0.0,0.0,0.0,1,"[3, 21, 4.9]"
2.6,1.7,0.9937931034482758,0.008,1.0,0.0,0.0,0.0,1,"[2, 26, 2.7]"
3.8,2.3,0.7282758620689656,0.486,1.0,0.0,0.0,0.0,1,"[1, 13, 4.2]"
3.0,1.9,0.2020689655172413,0.5720000000000001,0.0,0.0,1.0,0.0,1,"[2, 4, 2.9]"
2.2,1.8,0.1124137931034482,0.479,0.0,0.0,0.0,1.0,0,"[3, 23, 2.0]"
5.0,3.7,0.1820689655172414,0.395,1.0,0.0,0.0,0.0,0,"[5, 11, 4.9]"
2.6,4.3,0.5696551724137932,0.322,0.0,0.0,1.0,0.0,0,"[1, 13, 2.4]"
4.8,1.0,0.3572413793103448,0.864,1.0,0.0,0.0,0.0,1,"[2, 29, 4.2]"
3.2,1.0,0.3489655172413792,0.06,0.0,0.0,0.0,1.0,0,"[1, 23, 3.4]"
3.7,2.7,0.4648275862068965,0.238,1.0,0.0,0.0,0.0,1,"[5, 5, 2.9]"
4.8,2.4,0.4055172413793103,0.309,0.0,0.0,0.0,1.0,1,"[5, 19, 4.7]"
2.4,1.7,0.0758620689655172,0.174,0.0,0.0,1.0,0.0,1,"[3, 15, 2.2]"
2.1,3.3,0.6765517241379311,0.003,0.0,1.0,0.0,0.0,1,"[0, 0, 0.0]"
3.2,4.5,0.96,0.936,0.0,0.0,0.0,1.0,0,"[4, 22, 3.7]"
3.8,1.5,0.7062068965517241,0.611,0.0,0.0,0.0,1.0,1,"[2, 20, 4.4]"
2.4,0.6,0.1193103448275861,0.944,0.0,0.0,0.0,1.0,0,"[2, 10, 3.2]"
3.4,0.8,0.4393103448275861,0.748,0.0,0.0,0.0,1.0,1,"[5, 20, 2.9]"
4.8,3.9,0.8820689655172413,0.53,0.0,0.0,0.0,1.0,1,"[0, 0, 0.0]"
3.2,1.2,0.0868965517241379,0.877,1.0,0.0,0.0,0.0,1,"[5, 26, 2.9]"
2.7,2.0,0.7027586206896551,0.029,0.0,0.0,0.0,1.0,1,"[2, 24, 2.0]"
4.1,4.6,0.8751724137931034,0.414,0.0,0.0,0.0,1.0,1,"[0, 0, 0.0]"
4.6,0.5,0.999310344827586,0.152,0.0,1.0,0.0,0.0,1,"[5, 29, 4.6]"
4.7,3.7,0.06,0.322,0.0,1.0,0.0,0.0,1,"[4, 21, 4.6]"
4.6,1.7,0.9006896551724137,0.263,1.0,0.0,0.0,0.0,1,"[2, 17, 5.0]"
2.8,4.5,0.1586206896551724,0.176,0.0,0.0,1.0,0.0,1,"[1, 2, 3.0]"
2.3,4.5,0.1489655172413793,0.387,1.0,0.0,0.0,0.0,1,"[4, 19, 2.3]"
4.6,3.3,0.1103448275862068,0.6910000000000001,0.0,1.0,0.0,0.0,1,"[4, 28, 4.1]"
3.9,4.8,0.1758620689655172,0.809,1.0,0.0,0.0,0.0,1,"[1, 22, 4.2]"
5.0,2.5,0.3434482758620689,0.748,0.0,0.0,0.0,1.0,0,"[4, 5, 5.0]"
3.2,3.1,0.5393103448275862,0.055,1.0,0.0,0.0,0.0,0,"[3, 5, 3.0]"
3.9,4.1,0.5724137931034483,0.719,1.0,0.0,0.0,0.0,0,"[4, 10, 3.8]"
2.1,1.0,0.5572413793103448,0.118,0.0,0.0,1.0,0.0,0,"[1, 17, 2.1]"
3.8,1.6,0.2827586206896551,0.65,0.0,0.0,0.0,1.0,0,"[1, 2, 3.5]"
3.7,4.7,0.1572413793103448,0.27,0.0,1.0,0.0,0.0,1,"[5, 20, 3.5]"
4.6,3.3,0.763448275862069,0.929,0.0,0.0,0.0,1.0,1,"[2, 20, 3.5]"
4.8,4.8,0.8751724137931034,0.029,0.0,0.0,1.0,0.0,0,"[2, 8, 4.9]"
3.8,3.5,0.8786206896551724,0.273,0.0,0.0,1.0,0.0,1,"[1, 27, 4.7]"
4.8,3.7,0.0724137931034482,0.64,0.0,0.0,1.0,0.0,1,"[3, 29, 4.5]"
2.8,4.2,0.3068965517241379,0.614,0.0,0.0,0.0,1.0,0,"[0, 0, 0.0]"
4.3,3.9,0.7786206896551724,0.301,0.0,0.0,1.0,0.0,1,"[4, 3, 4.6]"
2.8,3.6,0.9489655172413792,0.146,0.0,0.0,0.0,1.0,1,"[2, 27, 3.0]"
2.2,1.0,0.9779310344827586,0.741,1.0,0.0,0.0,0.0,1,"[4, 21, 2.7]"
4.6,0.5,0.956551724137931,0.089,1.0,0.0,0.0,0.0,1,"[0, 0, 0.0]"
3.2,4.9,0.766896551724138,0.42,0.0,0.0,0.0,1.0,1,"[4, 13, 2.3]"
3.2,3.1,0.4351724137931034,0.411,0.0,0.0,0.0,1.0,0,"[0, 0, 0.0]"
2.6,1.7,0.8841379310344827,0.995,0.0,0.0,0.0,1.0,0,"[0, 0, 0.0]"
2.4,5.0,0.84,0.808,0.0,1.0,0.0,0.0,0,"[5, 26, 2.6]"
4.1,4.7,0.7144827586206897,0.259,0.0,0.0,0.0,1.0,1,"[0, 0, 0.0]"
3.6,1.6,0.0399999999999999,0.47,1.0,0.0,0.0,0.0,1,"[2, 12, 3.0]"
2.2,3.2,0.5813793103448276,0.809,0.0,0.0,0.0,1.0,0,"[5, 11, 2.8]"
3.0,2.3,0.5779310344827586,0.777,0.0,0.0,1.0,0.0,1,"[5, 7, 3.5]"
4.9,2.6,0.1213793103448275,0.604,0.0,1.0,0.0,0.0,0,"[2, 19, 4.9]"
3.3,1.3,0.4282758620689654,0.593,0.0,0.0,1.0,0.0,1,"[5, 26, 3.9]"
4.6,4.4,0.7710344827586206,0.659,0.0,0.0,1.0,0.0,0,"[1, 29, 4.2]"
4.6,4.0,0.9917241379310344,0.634,0.0,0.0,0.0,1.0,0,"[0, 0, 0.0]"
5.0,1.0,0.4517241379310344,0.202,1.0,0.0,0.0,0.0,0,"[3, 29, 4.7]"
3.2,2.3,0.1903448275862068,0.848,0.0,0.0,0.0,1.0,0,"[1, 30, 3.8]"
3.9,3.8,0.4186206896551723,1.0,0.0,0.0,1.0,0.0,0,"[4, 10, 3.4]"
3.5,2.9,0.8751724137931034,0.685,0.0,1.0,0.0,0.0,1,"[1, 8, 3.1]"
4.6,1.7,0.0793103448275862,0.043,0.0,1.0,0.0,0.0,1,"[2, 27, 4.8]"
4.8,0.8,0.5682758620689655,0.811,1.0,0.0,0.0,0.0,1,"[1, 30, 4.2]"
3.8,1.8,0.2013793103448276,0.74,0.0,0.0,1.0,0.0,0,"[2, 29, 4.0]"
2.3,3.6,0.493103448275862,0.558,0.0,0.0,1.0,0.0,1,"[3, 4, 3.0]"
4.6,4.1,0.3358620689655172,0.591,0.0,0.0,1.0,0.0,0,"[0, 0, 0.0]"
2.0,3.0,0.0813793103448275,0.713,0.0,0.0,1.0,0.0,0,"[0, 0, 0.0]"
2.4,4.6,0.6834482758620689,0.387,1.0,0.0,0.0,0.0,1,"[3, 7, 2.3]"
3.4,3.0,0.6544827586206896,0.6930000000000001,0.0,0.0,1.0,0.0,1,"[2, 21, 3.4]"
2.1,2.6,0.3462068965517241,0.945,1.0,0.0,0.0,0.0,1,"[0, 0, 0.0]"
2.2,4.3,0.3868965517241379,0.446,0.0,1.0,0.0,0.0,0,"[3, 29, 2.1]"
4.3,3.7,0.8517241379310344,0.088,0.0,1.0,0.0,0.0,1,"[5, 8, 4.3]"
4.8,1.1,0.4448275862068965,0.964,0.0,0.0,0.0,1.0,1,"[4, 19, 5.0]"
3.6,4.1,0.0255172413793103,0.8310000000000001,0.0,0.0,0.0,1.0,1,"[0, 0, 0.0]"
3.6,3.7,0.8337931034482758,0.013,0.0,1.0,0.0,0.0,1,"[0, 0, 0.0]"
2.1,4.2,0.933103448275862,0.275,1.0,0.0,0.0,0.0,1,"[3, 30, 2.0]"
3.2,1.1,0.2813793103448275,0.08,0.0,0.0,0.0,1.0,1,"[3, 29, 2.8]"
4.7,2.7,0.696551724137931,0.212,0.0,0.0,1.0,0.0,0,"[0, 0, 0.0]"
3.6,0.9,0.5337931034482759,0.226,1.0,0.0,0.0,0.0,1,"[1, 22, 4.0]"
4.3,4.5,0.1455172413793103,0.391,0.0,1.0,0.0,0.0,0,"[2, 2, 4.5]"
2.5,4.3,0.4241379310344827,0.162,1.0,0.0,0.0,0.0,0,"[4, 9, 2.7]"
2.6,0.8,0.0386206896551724,0.312,0.0,0.0,0.0,1.0,1,"[1, 11, 3.7]"
3.6,0.8,0.2868965517241379,0.955,0.0,0.0,0.0,1.0,0,"[2, 1, 2.9]"
4.8,5.0,0.3310344827586206,0.261,0.0,0.0,0.0,1.0,0,"[5, 7, 4.7]"
2.8,1.2,0.6193103448275862,0.321,0.0,0.0,1.0,0.0,1,"[1, 30, 3.2]"
4.8,2.3,0.4868965517241378,0.341,0.0,0.0,0.0,1.0,1,"[0, 0, 0.0]"
4.3,4.2,0.4137931034482758,0.957,1.0,0.0,0.0,0.0,0,"[4, 24, 4.2]"
3.9,3.9,0.9668965517241378,0.27,0.0,0.0,1.0,0.0,0,"[3, 3, 4.8]"
4.8,3.2,0.6158620689655172,0.622,0.0,1.0,0.0,0.0,0,"[0, 0, 0.0]"
2.0,4.5,0.2268965517241379,0.099,0.0,0.0,1.0,0.0,0,"[3, 23, 2.0]"
3.8,4.2,0.9703448275862068,0.361,0.0,1.0,0.0,0.0,0,"[4, 12, 3.8]"
3.2,3.6,0.3006896551724137,0.845,1.0,0.0,0.0,0.0,1,"[2, 20, 3.6]"
2.5,0.7,0.9793103448275864,0.317,0.0,1.0,0.0,0.0,1,"[1, 11, 3.1]"
4.3,2.5,0.1537931034482758,0.7000000000000001,1.0,0.0,0.0,0.0,0,"[0, 0, 0.0]"
4.4,2.7,0.7337931034482759,0.5690000000000001,1.0,0.0,0.0,0.0,1,"[4, 25, 4.7]"
2.2,3.6,0.2372413793103447,0.807,0.0,0.0,1.0,0.0,1,"[1, 9, 2.0]"
2.6,4.0,0.8924137931034483,0.53,0.0,0.0,1.0,0.0,0,"[1, 24, 2.0]"
2.4,2.5,0.2262068965517241,0.89,0.0,1.0,0.0,0.0,1,"[5, 19, 2.1]"
2.1,2.3,0.4655172413793103,0.087,0.0,0.0,0.0,1.0,0,"[1, 22, 2.0]"
3.8,1.2,0.3634482758620689,0.577,0.0,0.0,0.0,1.0,1,"[3, 22, 3.6]"
2.3,2.0,0.0096551724137931,0.269,1.0,0.0,0.0,0.0,1,"[0, 0, 0.0]"
